INCI Name,한글성분명,CAS No.,제조회사,원산지,추출부위(추출물),유도부위 (캘러스),캘러스 원물 원산지,효능,기타
Paeonia Suffruticosa Root Extract,모란뿌리추출물,"223747-88-4
(generic)","BIO-FD&C Co.,Ltd.",Plant (South Korea / China ??),Roots,,,모란뿌리껍질,[모란뿌리] 목단피
Panax Ginseng Callus Culture Extract,인삼캘러스배양추출물,,"BIO-FD&C Co.,Ltd.",Callus (South Korea),,Callus from the leaf,,,
Panax Ginseng Root Extract,인삼추출물,"84650-12-4 (generic), 1449115-64-3 (generic)","BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Pentylene Glycol,펜틸렌글라이콜,5343-92-0,Symrise,Synthetic (Germany),,,,,~2020.12
Pentylene Glycol,펜틸렌글라이콜,,Symrise,Plant (Germany),Chemically processed agro ingredients,bagasse from the sugarcane,,,2021.01~
Pentylene Glycol,펜틸렌글라이콜,,Minasolve,Plant (France),Chemically processed agro ingredients,"(Corn cobs, Sugar cane bagasse)",,,
Perilla Frutescens Leaf Extract,소엽잎추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Phaseolus Radiatus Seed Extract,녹두씨 추출물 (녹두추출물),,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Seeds,,,,
Phellodendron Amurense Bark Extract,황벽나무껍질추출물,164288-52-2,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Bark,,,,
Phenoxyethanol,페녹시에탄올,122-99-6,YOKKAICHI CHEMICAL COMPANY LIMITED,Synthetic (Japan),,,,,~2018. 08
Phenoxyethanol,페녹시에탄올,122-99-6,Galaxy Surfactants Ltd.,Synthetic (India),,,,,2018. 09 ~
Pichia Ferment Lysate Filtrate,피키아발효용해여과물,,"BIO-FD&C Co.,Ltd.","Yeast (BIO-FD&C Co.,Ltd.)",,,,,
Pinus Densiflora Extract,소나무추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaves,,,,
Pisum Sativum (Pea) Phytoplacenta Extract,완두콩피토플라센타추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Phytoplacenta,(실제로는 없음),,,
Polyglutamic Acid,폴리글루타믹애씨드,,"Shandong Freda biotechnology Co., Ltd.",Fermented (China),,,,,
Polygonum Cuspidatum Root Extract,호장근뿌리추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Roots,,,,
Polygonum Cuspidatum Root Extract,호장근추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Root,,,,
Polygonum Fagopyrum (Buckwheat) Seed Extract,메밀씨추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Seeds,,,,
Polygonum Multiflorum Root Extract,하수오뿌리추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Root,,,,
Poria Cocos Extract,복령추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),sclerotium (Fungus ??) 확인 요,,,,
Poria Cocos Sclerotium Extract,복령추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),sclerotium,,,,
Porphyra Yezoensis Extract,방사무늬돌김추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea) (Shinan-gun),Alga,,,,
Portulaca Oleracea Extract,쇠비름추출물(마치현추출물),90083-07-01,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaf/Stem,,,,
Portulaca Oleracea Extract,마치현추출물,90083-07-01,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaf/Stem 또는 Whole Plant,,,,
Potentilla Chinensis Extract,딱지꽃추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Whole Plant,,,,
Propanediol,프로판다이올,504-63-2,"DuPont Tate & Lyle BioProducts, LLC",Synthetic (U.S.A.),~ 약 2017년 4월,,,,
Propanediol,프로판다이올,504-63-2,"ActivON Co.,Ltd.",Natural (South Korea) / Plant(Palm),약 2017년 5월~,원래 합성인줄 알았는데 천연유래임.,,,
Propanediol,프로판다이올,504-63-2,확인 요,Natural (??) / Plant,지보단용,,,,
Propolis Extract,프로폴리스추출물,85665-41-4,"BIO-FD&C Co.,Ltd.",Propolis Wax (Brazil),,,,,
Prunus Armeniaca (Apricot) Fruit Extract,살구추출물,,"BIO-FD&C Co.,Ltd.",Plant (China),Fruit,,,,
Prunus Armeniaca (Apricot) Kernel Extract,살구씨추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Kernels,,,,
Prunus Mume Fruit Extract,매실추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Fruit,,,,
Prunus Persica (Peach) Fruit Extract,복숭아추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Fruit,,,,
Prunus Persica (Peach) Fruit Water,복숭아수,,,Plant (South Korea),,,,,
Prunus Serrulata Flower Extract,세룰라타벚나무꽃추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Prunus Serrulata Flower Extract,벚꽃추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Flower,,,,
Prunus Serrulata Phytoplacenta Culture Extract,벚나무피토플라센타배양추출물,미등록,"BIO-FD&C Co.,Ltd.",Callus (South Korea),,,,,
Pueraria Lobata Root Extract,칡뿌리추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Root,,,,
Pulsatilla Koreana Extract,할미꽃추출물,,C&B Cosmetic,Plant (South Korea),Whole Plant,,,,Euro Napre
Punica Granatum Fruit Extract,석류추출물,,"BIO-FD&C Co.,Ltd.",Plant (Turkey),Fruit,,,,
Punica Granatum Pericarp Extract,석류과피추출물,,"BIO-FD&C Co.,Ltd.",Plant (China),,,,,
Pyrus Malus (Apple) Fruit Extract,사과추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Fruit,,,,
Rehmannia Glutinosa Root Extract,지황뿌리추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Roots,,,,
Resveratrol,레스베라트롤,501-36-0,"Henan Coreychem Co.,Ltd.",Synthetic (China),,,,,
Resveratrol,레스베라트롤,501-36-0,Sigma-Aldrich,Plant,,,,,
Rhizophora Mangle Callus Culture Extract,레드맹그로브캘러스배양추출물,,"BIO-FD&C Co.,Ltd.",Callus (South Korea),Callus,Callus from the leaf,,,
Rosa Canina Fruit Extract,로즈힙열매추출물,,"BIO-FD&C Co.,Ltd.",Plant (France),Fruit,,,,
Rosa Centifolia Flower Water,프로방스장미꽃수,미등록,"BIO-FD&C Co.,Ltd.",Plant (France),Flower,,,,
Rosa Damascena Callus Culture Extract,다마스크장미캘러스 배양추출물,,"BIO-FD&C Co.,Ltd.",Callus (South Korea),,callus from the petal,"South Korea (Jinju), Iran",,
Rosa Damascena Extract,다마스크장미추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (France) - 현재(20200611)는 이란,Flower,,,,
Rosa Hybrid Flower Extract,장미꽃추출물,93062-88-5,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Rosmarinus officinalis (Rosemary) Extract,로즈마리추출물,,"BIO-FD&C Co.,Ltd.",,,,,,
Rosmarinus Officinalis (Rosemary) Leaf Extract,로즈마리잎추출물,84604-14-8,"BIO-FD&C Co.,Ltd.",Plant (South Korea 또는 France),Leaf,,,,
Royal Jelly Extract,로얄젤리추출물,,"BIO-FD&C Co.,Ltd.",Royal Jelly (South Korea),Royal Jelly,,,,
Rubus Idaeus (Raspberry) Fruit Extract,라즈베리추출물,84929-76-0,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Salicornia Herbacea Callus Culture Extract,퉁퉁마디캘러스배양추출물,,"BIO-FD&C Co.,Ltd.",Callus (South Korea),,Callus from the leaf,,,
Salvia Officinalis (Sage) Leaf Extract,세이지잎추출물,"8022-56-8
84082-79-1","BIO-FD&C Co.,Ltd.",Plant (France),Leaf,,,,
Salvia Sclarea (Clary) Extract,클레리추출물,84775-83-7,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaf,-,,,
Sanguisorba Officinalis Root Extract,오이풀뿌리추출물,,"BIO-FD&C Co.,Ltd.",Plant (China),Roots,,,,
Saponins,사포닌,,Sigma-Aldrich,Plant,,,,,
Saposhnikovia Divaricata Root Extract,방풍뿌리추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Saururus Chinensis Leaf/Root Extract,삼백초잎/뿌리추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaves and Roots,,,,
Schizonepeta Tenuifolia Extract,형개추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Whole Plants,,,,
Scutellaria Baicalensis Root Extract,황금추출물,94279-99-9,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Sesamum Indicum (Sesame) Seed Extract,검은깨추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Seeds,,,,
sh-Octapeptide-4,에스에이치-옥타펩타이드-4,,,,,,,,
Simmondsia Chinensis (Jojoba) Seed Extract,호호바씨추출물,,"BIO-FD&C Co.,Ltd.",Plant (China),,,,,
Smilax Glabra Root Extract,중국토복령추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Root,,,,
Sodium Ascorbyl Phosphate,소듐아스코빌포스페이트,,,Synthetic (South Korea),,,,,
Sodium Benzoate,소듐벤조에이트,532-32-1,Emerald Performance Materials,Synthetic (South Korea),,,,,~2019년 10월
Sodium Benzoate,소듐벤조에이트,532-32-1,"WUHAN YOUJI INDUSTRIES CO.,LTD.",Synthetic (China),,,,,2019년 11월~
Sodium Hyaluronate,소듐하이알루로네이트,9067-32-7,"GANA C&P Co.,Ltd.",Fermented (South Korea),,,,,2017년 ~
Sodium Hyaluronate,소듐하이알루로네이트,9067-32-7,"DANJOUNGBIO CO., LTD.",Fermented (South Korea),,,,,~ 2016년
Solanum Lycopersicum (Tomato) Callus Culture Extract,토마토캘러스배양추출물,,"BIO-FD&C Co.,Ltd.",Callus (South Korea),,Callus from the leaf,,,
Solanum Lycopersicum (Tomato) Fruit Extract,토마토추출물,90131-63-8,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Solanum Melongena (Eggplant) Fruit Extract,가지열매추출물,84012-19-1,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Fruit,,,,
Sophora Angustifolia Root Extract,도둑놈의지팡이뿌리추출물 (고삼추출물),,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Roots,,,,
Sophora Angustifolia Root Extract,고삼추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Soy Isoflavones,소이아이소플라본,,"4Chem Laboratory Co.,Ltd.",Plant,,,,,
Swertia Japonica Extract,쓴풀추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Whole Plant,,,,
Syringa Vulgaris (Lilac) Extract,서양수수꽃다리추출물,90063-50-6,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Whole Plant,,,,
Taraxacum Officinale (Dandelion) Extract,서양민들레추출물,,"BIO-FD&C Co.,Ltd.",Plant (China) - 원래는 국내산인데 중국 수출 때문에 China로….,Leaf (원래는 전초인데 중국 수출 때문에 China로….,,,,
Taraxacum Officinale (Dandelion) Rhizome/Root Extract,서양민들레뿌리줄기/뿌리추출물,,"BIO-FD&C Co.,Ltd.",Plant (China) 원래는 국내산인데 Taraxacum Officinale (Dandelion) Extract 중국 수출 때문에 같이 맞추기 위해 China로….,Rhizome/Root,,,,
Thuja Orientalis Extract,측백나무추출물,,"BIO-FD&C Co.,Ltd",Plant (South Korea),,,,,
Thuja Orientalis Leaf Extract,측백나무잎추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaf,,,,
Thymus Vulgaris (Thyme) Leaf Extract,선백리향잎추출물 (타임잎추출물),"84650-52-2
84929-51-1","BIO-FD&C Co.,Ltd.",Plant (France),Leaf,,,,
Triticum Vulgare (Wheat) Germ Extract,밀배아추출물,,"BIO-FD&C Co.,Ltd.",Plant (U.S.A.),,,,,
Ulmus Davidiana Root Extract,당느릅나무뿌리추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Root Bark,,,,
Undaria Pinnatifida Extract,미역추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea) (제주),Whole Plant,,,,
Urtica Dioica (Nettle) Extract,쐐기풀추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Whole Plant,,,,
Usnea Barbata (Lichen) Extract,우스니아추출물,,C&B Cosmetic,Plant (South Korea),Whole Plant,,,,Euro Napre
Vaccinium Angustifolium (Blueberry) Fruit Extract,로우스위트블루베리추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (Chile),,,,,
Vaccinium Macrocarpon (Cranberry) Fruit Extract,크랜베리추출물,91770-88-6,"BIO-FD&C Co.,Ltd.",Plant (U.S.A.),Fruit,,,,
Viola Mandshurica Flower Extract,제비꽃꽃추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Flower,,,,
Vitex Agnus-Castus Extract,체이스트트리추출물,91722-47-3,"BIO-FD&C Co.,Ltd.",Plant (Albania),Berry,,,,
Vitex Negundo Leaf Cell Extract,중국체이스트트리잎세포추출물,,"BIO-FD&C Co.,Ltd.",Plant,,,,,
Vitex Trifolia Fruit Extract,순비기나무열매추출물,,"BIO-FD&C Co.,Ltd.",Plant (Myanmar),,,,,
Vitis Vinifera (Grape) Callus Culture Extract,포도캘러스배양추출물,,"BIO-FD&C Co.,Ltd.",Callus (South Korea),,,,,
Vitis Vinifera (Grape) Fruit Cell Extract,포도세포추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Fruit Cell (Callus) from the fruit,,,,
Vitis Vinifera (Grape) Fruit Cell Extract,포도세포추출물,,"BIO-FD&C Co.,Ltd.",Plant,,,,,
Vitis Vinifera (Grape) Fruit Extract,포도추출물,84929-27-1,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Vitis Vinifera (Grape) Seed Extract,포도씨추출물,84929-27-1,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Seed,,,,
Xanthan Gum,잔탄검,,"CP Kelco U.S., Inc.",Fermented (U.S.A),,,,,
Xanthium Strumarium Fruit Extract,도꼬마리열매추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Zanthoxylum Alatum Fruit Extract,개산초열매추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Fruit,,,,
Zanthoxylum Piperitum Fruit Extract(1),초피나무열매추출물,,C&B Cosmetic,Plant (South Korea),Fruit,,,,Euro Napre
Zanthoxylum Piperitum Fruit Extract,초피나무열매추출물,97404-53-0(generic),"BIO-FD&C Co.,Ltd.",Plant (South Korea),Fruit,,,,
Zanthoxylum Piperitum Peel Extract,초피나무열매껍질추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Peel,,,,
Zanthoxylum Schinifolium Leaf Extract,산초나무잎추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaf,,,,
Zingiber Officinale (Ginger) Root Extract,생강추출물,84696-15-1,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Hordeum Vulgare Leaf Extract,보리잎추출물,85251-64-5,"BIO-FD&C Co.,Ltd.",,,,,,
rh-Oligopeptide-1,알에이치-올리고펩타이드-1,62253-63-8,"BIO-FD&C Co.,Ltd.",Synthetic(South Korea),,,,,화순구매
rh-Polypeptide-11,알에이치-폴리펩타이드-11,62031-54-3,"BIO-FD&C Co.,Ltd.",Synthetic(South Korea),,,,,화순구매
rh-Polypeptide-1,알에이치-폴리펩타이드-1,106096-93-9,"BIO-FD&C Co.,Ltd.",Synthetic(South Korea),,,,,화순구매
rh-Polypeptide-13,알에이치-폴리펩타이드-13,148294-77-3,"BIO-FD&C Co.,Ltd.",Synthetic(South Korea),,,,,화순구매
rh-Polypeptide-9,알에이치-폴리펩타이드-9,127464-60-2,"BIO-FD&C Co.,Ltd.",Synthetic(South Korea),,,,,화순구매
rh-Polypeptide-3,알에이치-폴리펩타이드-3,126469-10-1,"BIO-FD&C Co.,Ltd.",Synthetic(South Korea),,,,,화순구매
rh-Polypeptide-22,알에이치-폴리펩타이드-22,98726-64-8,"BIO-FD&C Co.,Ltd.",Synthetic(South Korea),,,,,화순구매
rh-Polypeptide-19,알에이치-폴리펩타이드-19,"93585-89-8,
105186-99-0","BIO-FD&C Co.,Ltd.",Synthetic(South Korea),,,,,화순구매
rh-Polypeptide-7,알에이치-폴리펩타이드-7,12629-01-05,"BIO-FD&C Co.,Ltd.",Synthetic(South Korea),,,,,화순구매
Water,정제수,7732-18-5,,,,,,,
Asarum Sieboldi Root Extract,참당귀뿌리추출물,미등록,"BIO-FD&C Co.,Ltd.",,,,,,
Sophora Flavescens Root Extract,고삼뿌리추출물,미등록,"BIO-FD&C Co.,Ltd.",,,,,,
Ginkgo Biloba Leaf Extract,은행나무잎추출물,90045-36-6,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaf,,,,
Thuja Occidentalis Leaf Extract,서양측백나무잎추출물,미등록,"BIO-FD&C Co.,Ltd.",,Leaf,,,,
Lavandula Angustifolia (Lavender) Flower Extract,라벤더꽃추출물,미등록,"BIO-FD&C Co.,Ltd.",,Flower,,프랑스,착향제,
sh-Polypeptide-7,에스에이치-폴리펩타이드-7,영업비밀,"BIO-FD&C Co.,Ltd.",Synthetic(South Korea),,,,,화순구매
Rubus Fruticosus (Blackberry) Fruit Extract,서양산딸기추출물,84787-69-9,"BIO-FD&C Co.,Ltd.",,,,,,
Betula Platyphylla Japonica Bark Extract,자작나무껍질추출물,미등록,"BIO-FD&C Co.,Ltd.",,,,,,
Artemisia Princeps Extract,쑥추출물,223747-95-3(generic),"BIO-FD&C Co.,Ltd.",,,,,,
Gardenia Florida Fruit Extract,치자추출물,92457-01-07,"BIO-FD&C Co.,Ltd.",,,,,,
Centella Asiatica Leaf Extract,병풀잎추출물,84696-21-9(generic),"BIO-FD&C Co.,Ltd.",,,,,,
Bambusa Vulgaris Extract,밤부사 불가리스추출물,미등록,"BIO-FD&C Co.,Ltd.",,,,,,
"Lavandula Angustifolia (Lavender) Flower
Water",라벤더꽃수,미등록,,,,,,,
"Chamomilla Recutita (Matricaria)
Flower/Leaf Extract",마트리카리아꽃/잎추출물,미등록,"BIO-FD&C Co.,Ltd.",,,,,,
Morus Alba Leaf Extract,뽕나무잎추출물,94167-05-02,"BIO-FD&C Co.,Ltd.",,,,,,
Glycyrrhiza Uralensis (Licorice) Root Extract,감초뿌리추출물,미등록,"BIO-FD&C Co.,Ltd.",,,,,,
Angelica Tenuissima Root Extract,고본뿌리추출물,미등록,"BIO-FD&C Co.,Ltd.",,,,,,
Laminaria Japonica Extract,다시마추출물,92128-82-0,"BIO-FD&C Co.,Ltd.",,,,,,
Sargassum Fulvellum Extract,모자반추출물,미등록,"BIO-FD&C Co.,Ltd.",,,,,,
Enteromorpha Compressa Extract,납작파래추출물,미등록,"BIO-FD&C Co.,Ltd.",,,,,,
Ecklonia Cava Extract,감태추출물,미등록,"BIO-FD&C Co.,Ltd.",,,,,,
Anthemis Nobilis Flower Water,캐모마일꽃수,미등록,,,Flower,,,착향제,
Artemisia Annua Leaf Extract,개똥쑥잎추출물,미등록,"BIO-FD&C Co.,Ltd.",,,,,,
Carica Papaya (Papaya) Fruit Extract,파파야열매추출물,84012-30-6,"BIO-FD&C Co.,Ltd.",,,,,,
Polygonum Aviculare Extract,마디풀추출물,84604-04-06,"BIO-FD&C Co.,Ltd.",,,,,,
Asparagus Officinalis Stem Extract,아스파라거스줄기추출물,84649-90-1,"BIO-FD&C Co.,Ltd.",,,,,,
Gluconolactone,글루코노락톤,90-80-2,,,,,,,
Calcium Gluconate,칼슘글루코네이트,299-28-5,,,,,,,
Taraxacum Coreanum Phytoplacenta Culture Extract,흰민들레피토플라센타배양추출물,미등록,"BIO-FD&C Co.,Ltd.",,,,,"산화방지제, 헤어컨디셔닝제, 피부보호제, 피부컨디셔닝제(보습제)",
Magnolia Kobus Flower Extract,목련꽃추출물,223749-80-2(generic),"BIO-FD&C Co.,Ltd.",,,,,,
Lavandula Angustifolia (Lavender) Water,라벤더수,미등록,,,,,,,
Rosa Damascena Flower Extract,다마스크장미꽃추출물,미등록,"BIO-FD&C Co.,Ltd.",,꽃,,,,
Panax Ginseng Extract,인삼전초추출물,84650-12-4(generic),"BIO-FD&C Co.,Ltd.",,뿌리,,,,
Oenothera Biennis (Evening Primrose) Root Extract,달맞이꽃뿌리추출물,90028-66-3,"BIO-FD&C Co.,Ltd.",,뿌리,,,,
Salix Alba (Willow) Bark Extract,흰버드나무껍질추출물,84082-82-6,"BIO-FD&C Co.,Ltd.",,,,,,
Melaleuca Alternifolia (Tea Tree) Leaf Extract,티트리잎추출물,85085-48-9,,,,,,,
Echinacea Purpurea Callus Culture Extract,자주천인국캘러스배양추출물,미등록,,,,,,,
Nelumbo Nucifera Callus Culture Extract,연꽃캘러스배양추출물,미등록,,,,,,,
