INCI Name,한글성분명,CAS No.,제조회사,원산지,추출부위(추출물),유도부위 (캘러스),캘러스 원물 원산지,효능,기타
Bletilla Striata Root Extract,자란뿌리추출물,영업비밀,"BIO-FD&C Co.,Ltd.",Plant (China),,,,,
Borago Officinalis Extract,보리지추출물,84012-16-8,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Whole Plant,-,,,
Brassica Oleracea Capitata (Cabbage) Leaf Extract,양배추추출물,89958-13-4,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaf,,,,
Brassica Oleracea Italica (Broccoli) Extract,브로콜리추출물,223749-36-8(generic),"BIO-FD&C Co.,Ltd.",Plant (South Korea),Whole Plant,,,,
Bupleurum Falcatum Root Extract,시호뿌리추출물,89958-12-3,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Butylene Glycol,부틸렌글라이콜,107-88-0,Oxea corp. (OQ Corp.),Synthetic (U.S.A.),,,,,
Butylene Glycol,부틸렌글라이콜,107-88-0,"ActivON Co.,Ltd.",Natural (South Korea),,,"긴자용 rice,",,
Calendula Officinalis Extract,포트마리골드추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (Egypt),,,,,
Calendula Officinalis Flower Extract,포트마리골드꽃추출물,84776-23-8,"BIO-FD&C Co.,Ltd.",Plant (Egypt),Flower,,,,
Camellia Japonica Flower Extract,동백꽃추출물,223748-13-8(generic),"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Camellia Japonica Flower Water,동백나무꽃수,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Camellia Japonica Leaf Extract,동백나무잎추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaf,,,,
Camellia Japonica Phytoplacenta Extract,동백나무피토플라센타추출물,223748-13-8(generic),"BIO-FD&C Co.,Ltd.",Plant (South Korea),Phytoplacenta,,,,
Camellia Sinensis Callus Culture Extract,녹차캘러스배양추출물,미등록,"BIO-FD&C Co.,Ltd.",Callus (South Korea),,,,,
Camellia Sinensis Leaf Extract,녹차추출물,84650-60-2,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaves,,,,
Capsicum Annuum Fruit Extract,고추열매추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Fruit,,,,
Carnosine,카르노신,,GL Biochem （Shanghai） Ltd.,Synthetic (China),해당제품 GL에서 판매X,,,,
Carnosine,카르노신,,"BIO-FD&C Co.,Ltd.",Synthetic (South Korea),,,,,
Carthamus Tinctorius (Safflower) Flower Extract,잇꽃꽃추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (China),Flowers,,,,
Castanea Crenata (Chestnut) Shell Extract,밤껍질추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Shell,,,,
Centaurea Cyanus Flower Extract,수레국화꽃추출물,84012-18-0,"BIO-FD&C Co.,Ltd.",Plant (China),Flower,-,,,
Centella Asiatica Extract,병풀추출물,"84696-21-9
84776-24-9","BIO-FD&C Co.,Ltd.","Plant (India) (China 2021년 신규제조분부터), 국내산도 증빙 가능",Leaves,,,,
Chamomilla Recutita (Matricaria) Flower Extract,마트리카리아꽃추출물,84082-60-0,"BIO-FD&C Co.,Ltd.",Plant (France),Flower,,원재료 유기농,,
Chamomilla Recutita (Matricaria) Flower Extract,캐모마일꽃추출물,84082-60-0,"BIO-FD&C Co.,Ltd.",Plant (France),Flower (Flowerhead),,원재료 유기농,,
Chamomilla Recutita (Matricaria) Flower/Leaf Extract,마트리카리아꽃/잎추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (France),Flower/Leaf,-,원재료 유기농,,
Chamomilla Recutita (Matricaria) Leaf Extract,캐모마일잎추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaf,,,,
Chenopodium Quinoa Seed Extract,퀴노아씨추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Seeds,,,,
Chlamydomonas Hedleyi Extract,클라미도모나스 헤들레이이추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Whole Plant ???,,,,
Chlorella Vulgaris Extract,클로렐라추출물,223749-83-5,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Chlorella Vulgaris,,,,
Chlorella Vulgaris Extract,클로렐라추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Whole,,,,
Chlorella Vulgaris Extract,클로렐라추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Chlorella Vulgaris - Cells,,,,
Chrysanthemum Indicum Flower Extract,감국꽃추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Chrysanthemum Morifolium Flower Extract,국화꽃추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Citrullus Vulgaris (Watermelon) Fruit Extract,수박추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Citrus Aurantifolia (Lime) Fruit Extract,라임추출물,90063-52-8,"BIO-FD&C Co.,Ltd.",Plant (Vietnam),,,,,
Citrus Aurantium Dulcis (Orange) Fruit Extract,오렌지추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Citrus Limon (Lemon) Fruit Extract,레몬추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Citrus Paradisi (Grapefruit) Fruit Extract,자몽추출물,"90045-43-5(generic), 8016-20-4","BIO-FD&C Co.,Ltd.",Plant (U.S.A.),Fruit,,,,
Citrus Paradisi (Grapefruit) Seed Extract,,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Seed,,,,
Cnidium officinale root Extract,천궁추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Root,,,,
Cocos nucifera (Coconut) Fruit Extract,코코넛추출물,,"BIO-FD&C Co.,Ltd.",Plant (Vietnam),,,,,
Coffea Arabica (Coffee) Seed Extract,커피콩추출물,84650-00-0,"BIO-FD&C Co.,Ltd.",Plant (Ethiopia),,,,,
Coix Lacryma-Jobi Ma-yuen Seed Extract,율무씨추출물 (의이인추출물),164288-51-1,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Seeds,,,,
Cornus Officinalis Fruit Extract,산수유추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Fruit,,,,
Cornus Officinalis Fruit Extract,산수유열매추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Fruit,,,,
Cucumis Sativus (Cucumber) Fruit Extract,오이열매추출물,89998-01-06,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Fruit,,,,
Cucurbita Pepo (Pumpkin) Fruit Extract,호박추출물,89998-03-08,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Curcuma Longa (Turmeric) Root Extract,울금뿌리추출물,84775-52-0,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Curcumin,커큐민,,Sigma-Aldrich,Plant,,,,,착향제
Daucus Carota (Carrot) Callus Culture Extract,당근캘러스배양추출물,,"BIO-FD&C Co.,Ltd.",Plant-Callus (South Korea),Callus,,,,
Daucus Carota Sativa (Carrot) Root Extract,당근추출물,84929-61-3,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Plant (South Korea),,,,
Dendropanax Morbiferus Leaf Extract,황칠나무잎추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Dioscorea Japonica Root Extract,참마뿌리추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Roots,,,,
Diospyros Kaki Leaf Extract,감나무잎추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaf,,,,
Disodium EDTA,디소듐이디티에이,,,Synthetic (South Korea),,,,,
Eclipta Prostrata Extract,한련초추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Ephedra Sinica Extract,마황추출물,,"BIO-FD&C Co.,Ltd.",Plant (Pakistan),,,,,
Equisetum Arvense Extract,쇠뜨기추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Whole Plant,,,,
Ethyl Paraben,,,,Synthetic (South Korea),,,,,
Ethylhexylglycerin,에틸헥실글리세린,70445-33-9,Schuelke & Mayr GmbH,Synthetic (Germany),,,,,~ 2018년 8월
Ethylhexylglycerin,에틸헥실글리세린,70445-33-9,SACHEM Inc.,Synthetic (Netherlands),,,,,2018년 9월 ~ 2020년 11월
Ethylhexylglycerin,에틸헥실글리세린,70445-33-9,Chemoxy International Ltd.,Synthetic (U.K.),,,,,2020년12월~
Eugenia Caryophyllus (Clove) Flower Extract,클로브꽃추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Euterpe Oleracea Fruit Extract,아사이팜열매추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (Brazil),,,,,
Euterpe Oleracea Fruit Extract,아사이야자추출물,,"BIO-FD&C Co.,Ltd.",Plant (Brazil),,,,,
Foeniculum Vulgare (Fennel) Fruit Extract,회향추출물,,"BIO-FD&C Co.,Ltd.",Plant (China),,,,,
Fragaria Chiloensis (Strawberry) Fruit Extract,비치스트로베리추출물,95193-64-9,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Freesia Refracta Extract,프리지어추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Whole Plant,,,,
Ganoderma Lucidum (Mushroom) Stem Extract,영지버섯줄기추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Stems,,,,
Garcinia Mangostana Peel Extract,망고스틴껍질추출물,,"BIO-FD&C Co.,Ltd.",Plant (Thailand),,,,,
